Chrom	Start	End	uniprotId	Gene	exp.count	peak.count
chr20	49541895	49541920	P49711	CTCF	535	1939
chr4	86922545	86922572	P49711	CTCF	534	1939
chr5	149367643	149367674	P49711	CTCF	533	1939
chr3	187748154	187748177	P49711	CTCF	538	1939
chr11	119356484	119356529	P49711	CTCF	509	1939
chr17	17812390	17812417	P49711	CTCF	534	1939
chr13	107205482	107205505	P49711	CTCF	535	1938
chr15	74621241	74621264	P49711	CTCF	537	1938
chr19	15629464	15629487	P49711	CTCF	534	1938
chr2	64873620	64873643	P49711	CTCF	539	1938
chr9	1009276	1009299	P49711	CTCF	535	1937
chr2	119703005	119703030	P49711	CTCF	535	1937
chr1	198156290	198156313	P49711	CTCF	528	1937
chr17	43673975	43673998	P49711	CTCF	537	1937
chr11	71080429	71080456	P49711	CTCF	521	1937
chr17	39622102	39622125	P49711	CTCF	542	1937
chr4	140253348	140253373	P49711	CTCF	531	1937
chr10	70146670	70146695	P49711	CTCF	528	1937
chr1	84753720	84753743	P49711	CTCF	535	1936
chr1	205256341	205256364	P49711	CTCF	538	1936
chr1	226547858	226547881	P49711	CTCF	531	1936
chr8	11765622	11765645	P49711	CTCF	536	1936
chr11	76207733	76207762	P49711	CTCF	533	1935
chr1	3724584	3724607	P49711	CTCF	535	1935
chr17	40358645	40358668	P49711	CTCF	539	1935
chr14	68911769	68911792	P49711	CTCF	540	1935
chr12	113980692	113980715	P49711	CTCF	539	1935
chr4	3443641	3443670	P49711	CTCF	532	1935
chr8	23288035	23288062	P49711	CTCF	530	1935
chr9	133994567	133994590	P49711	CTCF	535	1935
chr2	113979748	113979787	P49711	CTCF	457	1935
chr11	77091331	77091356	P49711	CTCF	538	1934
chr6	32415607	32415630	P49711	CTCF	539	1934
chr8	23692805	23692828	P49711	CTCF	535	1934
chr6	41735634	41735659	P49711	CTCF	525	1934
chr1	5514720	5514743	P49711	CTCF	538	1934
chr16	56702216	56702239	P49711	CTCF	539	1934
chr17	50547053	50547076	P49711	CTCF	539	1934
chr7	30740627	30740650	P49711	CTCF	539	1933
chr3	15557706	15557739	P49711	CTCF	520	1933
chr3	113288246	113288269	P49711	CTCF	538	1933
chr3	51669447	51669470	P49711	CTCF	536	1933
chr7	106176842	106176864	P49711	CTCF	535	1932
chr17	58113213	58113235	P49711	CTCF	540	1932
chr20	63974049	63974080	P49711	CTCF	539	1932
chr7	101059511	101059534	P49711	CTCF	538	1932
chr18	58122080	58122103	P49711	CTCF	536	1931
chr9	135967704	135967729	P49711	CTCF	536	1931
chr6	73130089	73130112	P49711	CTCF	535	1931
chr15	90886181	90886206	P49711	CTCF	541	1931
chr18	77000621	77000644	P49711	CTCF	538	1930
chr11	87352915	87352938	P49711	CTCF	540	1930
chr9	129174176	129174199	P49711	CTCF	539	1930
chr7	106042973	106042996	P49711	CTCF	538	1929
chr12	9331307	9331332	P49711	CTCF	535	1929
chr5	79025150	79025173	P49711	CTCF	535	1929
chr7	30938915	30938940	P49711	CTCF	538	1929
chr1	11642598	11642621	P49711	CTCF	537	1929
chr19	35114766	35114793	P49711	CTCF	539	1929
chr11	69101558	69101581	P49711	CTCF	536	1929
chr22	39529389	39529412	P49711	CTCF	534	1928
chr12	53099603	53099627	P49711	CTCF	539	1928
chr12	124767162	124767185	P49711	CTCF	535	1928
chr13	114226909	114226932	P49711	CTCF	536	1928
chr3	8769518	8769543	P49711	CTCF	527	1927
chr17	50161646	50161675	P49711	CTCF	532	1927
chr11	47355388	47355413	P49711	CTCF	523	1927
chr9	134443494	134443517	P49711	CTCF	538	1927
chr12	1796174	1796203	P49711	CTCF	526	1927
chr1	112390987	112391014	P49711	CTCF	538	1927
chr11	65110462	65110485	P49711	CTCF	538	1926
chr2	231056560	231056585	P49711	CTCF	537	1926
chr3	194682759	194682784	P49711	CTCF	536	1926
chr11	131674135	131674158	P49711	CTCF	534	1926
chr5	55146749	55146774	P49711	CTCF	532	1926
chr10	13586852	13586875	P49711	CTCF	535	1925
chr20	4108801	4108824	P49711	CTCF	532	1925
chr21	39518478	39518503	P49711	CTCF	537	1925
chr9	77433851	77433874	P49711	CTCF	537	1925
chr1	11838832	11838861	P49711	CTCF	534	1925
chr13	20163564	20163587	P49711	CTCF	538	1925
chr17	74210569	74210592	P49711	CTCF	538	1925
chr13	80343015	80343040	P49711	CTCF	528	1925
chr9	37904381	37904412	P49711	CTCF	534	1925
chr22	17830150	17830173	P49711	CTCF	537	1924
chr5	115634860	115634883	P49711	CTCF	529	1924
chr14	71753232	71753257	P49711	CTCF	538	1924
chr20	43749911	43749934	P49711	CTCF	529	1924
chr17	42517636	42517661	P49711	CTCF	535	1924
chr11	64148818	64148841	P49711	CTCF	535	1924
chr12	6944739	6944764	P49711	CTCF	532	1923
chr3	50273088	50273111	P49711	CTCF	534	1923
chr11	129696234	129696257	P49711	CTCF	530	1923
chr20	19662573	19662596	P49711	CTCF	538	1923
chr11	62906131	62906154	P49711	CTCF	539	1922
chr16	20850043	20850066	P49711	CTCF	537	1922
chr3	17841410	17841433	P49711	CTCF	536	1922
chr12	51980506	51980530	P49711	CTCF	538	1922
chr8	85220788	85220811	P49711	CTCF	538	1922
chr12	117025700	117025725	P49711	CTCF	536	1922
chr17	50482639	50482662	P49711	CTCF	538	1922
chr18	45880133	45880156	P49711	CTCF	533	1921
chr17	38423829	38423852	P49711	CTCF	538	1921
chr3	3179776	3179799	P49711	CTCF	530	1921
chr14	94001956	94001979	P49711	CTCF	538	1921
chr6	33280143	33280171	P49711	CTCF	510	1921
chr22	23281986	23282011	P49711	CTCF	533	1921
chr12	47742390	47742413	P49711	CTCF	538	1921
chr11	59136080	59136103	P49711	CTCF	534	1921
chr2	200901649	200901676	P49711	CTCF	529	1921
chr1	204989474	204989497	P49711	CTCF	538	1921
chr1	155091603	155091626	P49711	CTCF	539	1921
chr2	96554540	96554577	P49711	CTCF	535	1920
chr1	56832052	56832075	P49711	CTCF	535	1920
chr17	42025074	42025097	P49711	CTCF	535	1920
chr12	113174560	113174585	P49711	CTCF	538	1920
chr3	194333917	194333940	P49711	CTCF	536	1920
chr12	52023860	52023895	P49711	CTCF	531	1920
chr12	109597866	109597889	P49711	CTCF	537	1920
chr1	156657629	156657652	P49711	CTCF	533	1919
chr6	32838835	32838860	P49711	CTCF	538	1919
chr20	46023041	46023076	P49711	CTCF	521	1919
chr6	136644318	136644351	P49711	CTCF	535	1919
chr9	126558231	126558256	P49711	CTCF	540	1919
chr12	120228505	120228528	P49711	CTCF	535	1919
chr17	29117302	29117327	P49711	CTCF	533	1919
chr6	37692186	37692209	P49711	CTCF	535	1919
chr4	1726424	1726451	P49711	CTCF	537	1919
chr6	3849312	3849339	P49711	CTCF	493	1919
chr1	25998306	25998329	P49711	CTCF	540	1919
chr2	24164581	24164608	P49711	CTCF	514	1918
chr1	31664002	31664025	P49711	CTCF	538	1918
chr9	113658145	113658168	P49711	CTCF	538	1918
chr10	96229704	96229729	P49711	CTCF	535	1918
chr17	7280718	7280746	P49711	CTCF	532	1918
chr3	13648428	13648451	P49711	CTCF	533	1918
chr9	136123066	136123091	P49711	CTCF	533	1918
chr5	107673832	107673855	P49711	CTCF	535	1918
chr11	114261201	114261226	P49711	CTCF	537	1918
chr3	54853981	54854018	P49711	CTCF	526	1917
chr1	89763132	89763155	P49711	CTCF	535	1917
chr10	113563635	113563658	P49711	CTCF	534	1917
chr1	33367942	33367965	P49711	CTCF	537	1917
chr12	118376257	118376282	P49711	CTCF	534	1917
chr11	61733596	61733619	P49711	CTCF	535	1917
chr15	66774522	66774547	P49711	CTCF	534	1917
chr2	70862005	70862030	P49711	CTCF	535	1917
chr4	8242341	8242372	P49711	CTCF	534	1917
chr5	139633454	139633479	P49711	CTCF	535	1917
chr2	237745190	237745213	P49711	CTCF	536	1916
chr11	73142425	73142450	P49711	CTCF	524	1916
chr11	34174494	34174517	P49711	CTCF	535	1916
chr20	20860372	20860395	P49711	CTCF	538	1916
chr11	69918995	69919020	P49711	CTCF	526	1916
chr5	38441894	38441917	P49711	CTCF	539	1915
chr9	92765488	92765521	P49711	CTCF	533	1915
chr4	185597769	185597792	P49711	CTCF	537	1915
chr2	102020781	102020804	P49711	CTCF	539	1915
chr2	72862701	72862724	P49711	CTCF	535	1915
chr1	160681654	160681683	P49711	CTCF	519	1915
chr10	72337329	72337354	P49711	CTCF	532	1915
chr17	80427044	80427067	P49711	CTCF	534	1915
chr15	74382545	74382568	P49711	CTCF	538	1915
chr19	43745447	43745478	P49711	CTCF	537	1914
chr20	12925317	12925342	P49711	CTCF	524	1914
chr8	17699735	17699758	P49711	CTCF	531	1914
chr12	38138870	38138901	P49711	CTCF	538	1914
chr17	21280167	21280190	P49711	CTCF	537	1914
chr5	168486370	168486395	P49711	CTCF	536	1913
chr5	141879341	141879364	P49711	CTCF	535	1913
chr18	79246699	79246724	P49711	CTCF	529	1913
chr2	69724817	69724840	P49711	CTCF	539	1913
chr18	12934655	12934678	P49711	CTCF	533	1913
chr19	32224785	32224810	P49711	CTCF	523	1913
chr1	207828737	207828764	P49711	CTCF	533	1913
chr7	143380318	143380347	P49711	CTCF	536	1913
chr16	68328797	68328822	P49711	CTCF	538	1913
chr5	158695692	158695715	P49711	CTCF	533	1913
chr8	144509836	144509871	P49711	CTCF	523	1913
chr15	75204948	75204971	P49711	CTCF	537	1912
chr1	43529288	43529311	P49711	CTCF	538	1912
chr17	78422204	78422227	P49711	CTCF	539	1912
chr7	74026974	74027009	P49711	CTCF	535	1912
chr6	34154924	34154949	P49711	CTCF	521	1912
chr2	20098343	20098365	P49711	CTCF	531	1912
chr14	103546945	103546976	P49711	CTCF	531	1912
chr12	15221477	15221506	P49711	CTCF	525	1911
chr9	137579002	137579027	P49711	CTCF	527	1911
chr17	43878704	43878727	P49711	CTCF	537	1911
chr5	142655849	142655872	P49711	CTCF	536	1911
chr3	51942209	51942232	P49711	CTCF	535	1911
chr2	1550881	1550916	P49711	CTCF	528	1911
chr10	101142418	101142441	P49711	CTCF	533	1911
chr9	91734545	91734574	P49711	CTCF	535	1911
chr1	61050051	61050074	P49711	CTCF	535	1911
chr11	44621304	44621327	P49711	CTCF	534	1911
chr12	53066094	53066127	P49711	CTCF	533	1910
chr20	62301972	62301995	P49711	CTCF	537	1910
chr19	45248835	45248860	P49711	CTCF	536	1910
chr17	4889248	4889271	P49711	CTCF	535	1910
chr22	37643456	37643479	P49711	CTCF	536	1910
chr2	48420916	48420939	P49711	CTCF	536	1910
chr17	62968631	62968656	P49711	CTCF	528	1910
chr16	27179660	27179683	P49711	CTCF	533	1910
chr11	57457497	57457520	P49711	CTCF	536	1910
chr20	44733543	44733566	P49711	CTCF	530	1910
chr1	153495081	153495112	P49711	CTCF	538	1910
chr11	113305880	113305903	P49711	CTCF	532	1910
chr1	212456051	212456074	P49711	CTCF	540	1910
chr19	16041685	16041708	P49711	CTCF	536	1910
chr12	109093560	109093585	P49711	CTCF	537	1910
chr6	36759333	36759356	P49711	CTCF	540	1910
chr12	29317955	29317980	P49711	CTCF	525	1910
chr21	45140519	45140544	P49711	CTCF	529	1910
chr17	74958093	74958116	P49711	CTCF	534	1909
chr1	180179014	180179037	P49711	CTCF	535	1909
chr16	81738173	81738196	P49711	CTCF	533	1909
chr3	59857931	59857956	P49711	CTCF	534	1909
chr13	27533254	27533287	P49711	CTCF	530	1909
chr19	40598762	40598785	P49711	CTCF	537	1909
chr10	102917588	102917617	P49711	CTCF	534	1909
chr20	39050228	39050251	P49711	CTCF	526	1909
chr11	61517097	61517122	P49711	CTCF	535	1909
chr2	205885782	205885808	P49711	CTCF	531	1909
chr14	23058210	23058233	P49711	CTCF	538	1908
chr1	46037214	46037237	P49711	CTCF	539	1908
chr1	101238922	101238945	P49711	CTCF	536	1908
chr12	4604807	4604830	P49711	CTCF	535	1908
chr1	157992128	157992151	P49711	CTCF	534	1908
chr9	112844850	112844873	P49711	CTCF	534	1908
chr22	43388499	43388524	P49711	CTCF	535	1908
chr16	28321912	28321943	P49711	CTCF	524	1908
chr12	52327666	52327689	P49711	CTCF	532	1907
chr20	38221266	38221289	P49711	CTCF	534	1907
chr2	216666789	216666812	P49711	CTCF	539	1907
chr10	86377402	86377427	P49711	CTCF	532	1907
chr5	173332182	173332205	P49711	CTCF	531	1907
chr3	14921322	14921345	P49711	CTCF	539	1907
chr21	45555039	45555066	P49711	CTCF	524	1907
chr8	143281753	143281776	P49711	CTCF	539	1907
chr4	3480692	3480717	P49711	CTCF	538	1907
chr16	84187121	84187146	P49711	CTCF	537	1907
chr2	130332725	130332748	P49711	CTCF	537	1907
chr3	46705174	46705197	P49711	CTCF	539	1907
chr8	27597323	27597346	P49711	CTCF	539	1907
chr8	79765391	79765416	P49711	CTCF	534	1907
chr6	161370986	161371009	P49711	CTCF	534	1907
chr13	25287539	25287562	P49711	CTCF	534	1906
chr3	134601005	134601028	P49711	CTCF	533	1906
chr2	120313341	120313364	P49711	CTCF	537	1906
chr13	76903740	76903763	P49711	CTCF	537	1906
chr6	166775363	166775386	P49711	CTCF	534	1906
chr15	40279554	40279577	P49711	CTCF	531	1906
chr14	20609522	20609545	P49711	CTCF	539	1906
chr1	84772522	84772545	P49711	CTCF	531	1906
chr8	2030740	2030763	P49711	CTCF	535	1905
chr8	27614809	27614841	P49711	CTCF	501	1905
chr2	60581976	60582003	P49711	CTCF	528	1905
chr11	46239307	46239330	P49711	CTCF	532	1905
chr14	99266727	99266750	P49711	CTCF	537	1905
chr20	63382009	63382036	P49711	CTCF	530	1905
chr17	47841349	47841372	P49711	CTCF	534	1905
chr8	40993929	40993952	P49711	CTCF	535	1905
chr12	54579876	54579899	P49711	CTCF	539	1905
chr15	82540545	82540568	P49711	CTCF	534	1905
chr7	92133819	92133848	P49711	CTCF	527	1905
chr2	238970656	238970681	P49711	CTCF	537	1904
chr1	247937069	247937096	P49711	CTCF	507	1904
chr15	64153720	64153743	P49711	CTCF	538	1904
chr2	70920002	70920025	P49711	CTCF	538	1904
chr16	27457290	27457313	P49711	CTCF	537	1904
chr8	118743783	118743806	P49711	CTCF	539	1904
chr16	11396393	11396416	P49711	CTCF	539	1904
chr10	35563470	35563493	P49711	CTCF	539	1904
chr1	224513887	224513910	P49711	CTCF	536	1904
chr1	159936576	159936599	P49711	CTCF	541	1904
chr22	23178612	23178635	P49711	CTCF	537	1904
chr8	142447661	142447684	P49711	CTCF	534	1904
chr5	170435166	170435189	P49711	CTCF	535	1903
chr5	7816439	7816468	P49711	CTCF	528	1903
chr11	113289760	113289783	P49711	CTCF	531	1903
chr6	143427388	143427411	P49711	CTCF	534	1903
chr20	58237239	58237262	P49711	CTCF	537	1903
chr8	102814791	102814814	P49711	CTCF	537	1903
chr17	19363016	19363045	P49711	CTCF	532	1903
chr11	119666555	119666578	P49711	CTCF	536	1903
chr6	107675473	107675510	P49711	CTCF	535	1903
chr6	165850623	165850646	P49711	CTCF	535	1903
chr18	58764468	58764491	P49711	CTCF	534	1903
chr15	40045264	40045287	P49711	CTCF	532	1903
chr1	155086227	155086252	P49711	CTCF	538	1903
chr10	128011508	128011533	P49711	CTCF	535	1902
chr16	27155188	27155213	P49711	CTCF	538	1902
chr21	38356195	38356218	P49711	CTCF	535	1902
chr17	74457718	74457743	P49711	CTCF	536	1902
chr4	38319989	38320012	P49711	CTCF	540	1902
chr4	85797047	85797086	P49711	CTCF	515	1902
chr1	16009178	16009201	P49711	CTCF	536	1902
chr15	45163209	45163232	P49711	CTCF	534	1902
chr2	41840830	41840853	P49711	CTCF	540	1902
chr12	109775454	109775477	P49711	CTCF	533	1902
chr17	81484463	81484490	P49711	CTCF	522	1902
chr20	63056554	63056587	P49711	CTCF	528	1902
chr2	127591631	127591654	P49711	CTCF	531	1902
chr3	42444009	42444032	P49711	CTCF	539	1902
chr1	231211492	231211517	P49711	CTCF	533	1902
chr22	44626399	44626422	P49711	CTCF	534	1901
chr12	6538039	6538062	P49711	CTCF	532	1901
chr12	6040185	6040208	P49711	CTCF	536	1901
chr2	47272540	47272565	P49711	CTCF	526	1901
chr12	3275618	3275641	P49711	CTCF	533	1901
chr6	45930600	45930623	P49711	CTCF	535	1901
chr14	24090701	24090724	P49711	CTCF	537	1901
chr9	124126979	124127004	P49711	CTCF	538	1901
chr9	95127805	95127830	P49711	CTCF	533	1901
chr10	117496700	117496723	P49711	CTCF	537	1901
chr20	44116827	44116852	P49711	CTCF	535	1901
chr2	10435112	10435135	P49711	CTCF	533	1900
chr17	76279654	76279677	P49711	CTCF	537	1900
chr1	27300956	27300979	P49711	CTCF	539	1900
chr1	167066789	167066812	P49711	CTCF	533	1900
chr3	23999114	23999137	P49711	CTCF	535	1900
chr8	133569763	133569790	P49711	CTCF	535	1900
chr8	26088830	26088854	P49711	CTCF	531	1900
chr17	74203555	74203578	P49711	CTCF	540	1900
chr1	204127818	204127841	P49711	CTCF	534	1900
chr11	15650161	15650184	P49711	CTCF	534	1900
chr17	33751305	33751328	P49711	CTCF	534	1900
chr7	98106732	98106757	P49711	CTCF	535	1900
chr2	237072519	237072542	P49711	CTCF	538	1899
chr2	21043021	21043044	P49711	CTCF	538	1899
chr5	95858887	95858910	P49711	CTCF	536	1899
chr4	6546798	6546829	P49711	CTCF	526	1899
chr5	151051817	151051840	P49711	CTCF	537	1899
chr20	32790208	32790231	P49711	CTCF	535	1899
chr1	30801894	30801919	P49711	CTCF	533	1899
chr14	75654313	75654336	P49711	CTCF	538	1899
chr3	67113994	67114017	P49711	CTCF	530	1899
chr7	76201826	76201851	P49711	CTCF	504	1899
chr12	125183317	125183340	P49711	CTCF	537	1899
chr16	47141860	47141885	P49711	CTCF	536	1899
chr11	65416515	65416538	P49711	CTCF	534	1898
chr3	56494887	56494910	P49711	CTCF	534	1898
chr1	223133828	223133851	P49711	CTCF	536	1898
chr2	7097419	7097442	P49711	CTCF	536	1898
chr17	20993058	20993083	P49711	CTCF	538	1898
chr13	31742289	31742312	P49711	CTCF	534	1898
chr9	19457602	19457625	P49711	CTCF	535	1898
chr11	111879095	111879120	P49711	CTCF	535	1898
chr11	65574248	65574277	P49711	CTCF	530	1898
chr7	102272396	102272431	P49711	CTCF	533	1898
chr11	76318956	76318979	P49711	CTCF	534	1898
chr6	8983314	8983337	P49711	CTCF	532	1897
chr7	51161207	51161230	P49711	CTCF	534	1897
chr16	66483900	66483923	P49711	CTCF	538	1897
chr17	43334375	43334400	P49711	CTCF	536	1897
chr9	114108096	114108119	P49711	CTCF	534	1897
chr14	24333784	24333809	P49711	CTCF	531	1897
chr12	42482941	42482970	P49711	CTCF	518	1897
chr15	69462859	69462884	P49711	CTCF	535	1897
chr6	134111256	134111280	P49711	CTCF	528	1897
chr20	63980961	63980994	P49711	CTCF	528	1897
chr10	44857931	44857954	P49711	CTCF	534	1897
chr2	227472066	227472089	P49711	CTCF	534	1897
chr14	92681244	92681267	P49711	CTCF	536	1897
chr1	15431308	15431335	P49711	CTCF	537	1897
chr9	133147682	133147707	P49711	CTCF	541	1897
chr11	73351354	73351377	P49711	CTCF	539	1896
chr3	111717706	111717729	P49711	CTCF	535	1896
chr7	27161136	27161159	P49711	CTCF	538	1896
chr12	117155360	117155387	P49711	CTCF	520	1896
chr1	37487550	37487573	P49711	CTCF	537	1896
chr7	48110340	48110363	P49711	CTCF	540	1896
chr9	137227680	137227711	P49711	CTCF	533	1896
chr11	17384079	17384110	P49711	CTCF	533	1896
chr22	22720298	22720336	P49711	CTCF	486	1896
chr5	73792918	73792941	P49711	CTCF	537	1896
chr20	31852860	31852883	P49711	CTCF	536	1896
chr14	36942397	36942420	P49711	CTCF	532	1896
chr1	204363833	204363858	P49711	CTCF	541	1896
chr7	143008089	143008112	P49711	CTCF	535	1895
chr2	112726892	112726915	P49711	CTCF	535	1895
chr9	136339368	136339391	P49711	CTCF	531	1895
chr6	83065876	83065899	P49711	CTCF	523	1895
chr14	88013919	88013942	P49711	CTCF	532	1895
chr17	36629437	36629460	P49711	CTCF	534	1895
chr8	139631042	139631067	P49711	CTCF	522	1895
chr15	59138354	59138379	P49711	CTCF	517	1895
chr18	35231146	35231169	P49711	CTCF	534	1895
chr1	159198154	159198177	P49711	CTCF	531	1895
chr15	80776618	80776641	P49711	CTCF	530	1895
chr1	226125327	226125350	P49711	CTCF	537	1895
chr1	94806008	94806031	P49711	CTCF	534	1895
chr15	89430867	89430894	P49711	CTCF	540	1895
chr14	76387345	76387368	P49711	CTCF	532	1895
chr1	26789334	26789356	P49711	CTCF	536	1895
chr18	13824048	13824073	P49711	CTCF	527	1895
chr11	61947812	61947835	P49711	CTCF	537	1895
chr11	16788545	16788568	P49711	CTCF	536	1895
chr13	110456054	110456077	P49711	CTCF	534	1894
chr6	138109579	138109602	P49711	CTCF	536	1894
chr10	101014458	101014481	P49711	CTCF	536	1894
chr10	125048239	125048262	P49711	CTCF	537	1894
chr1	160085783	160085806	P49711	CTCF	532	1894
chr5	142699286	142699309	P49711	CTCF	535	1894
chr17	73429548	73429571	P49711	CTCF	536	1894
chr14	64764925	64764952	P49711	CTCF	534	1894
chr15	90648230	90648255	P49711	CTCF	531	1894
chr1	21270370	21270397	P49711	CTCF	534	1894
chr12	46072297	46072320	P49711	CTCF	537	1894
chr1	116152177	116152202	P49711	CTCF	526	1894
chr12	57462826	57462849	P49711	CTCF	536	1894
chr15	61834276	61834299	P49711	CTCF	534	1894
chr4	1352026	1352051	P49711	CTCF	533	1894
chr2	219530340	219530363	P49711	CTCF	538	1894
chr22	19630097	19630120	P49711	CTCF	535	1894
chr20	431610	431637	P49711	CTCF	521	1894
chr15	74800323	74800346	P49711	CTCF	539	1894
chr7	151754252	151754281	P49711	CTCF	534	1894
chr2	76599935	76599962	P49711	CTCF	510	1893
chr10	132837070	132837099	P49711	CTCF	532	1893
chr13	29472535	29472558	P49711	CTCF	527	1893
chr16	67547135	67547160	P49711	CTCF	538	1893
chr1	37434467	37434490	P49711	CTCF	536	1893
chr9	34500831	34500854	P49711	CTCF	536	1893
chr12	47963465	47963490	P49711	CTCF	534	1893
chr2	216777842	216777869	P49711	CTCF	519	1893
chr11	68384107	68384132	P49711	CTCF	533	1893
chr6	168895190	168895213	P49711	CTCF	533	1893
chr2	96508217	96508244	P49711	CTCF	527	1893
chr18	1664270	1664303	P49711	CTCF	500	1893
chr20	63009237	63009260	P49711	CTCF	531	1893
chr16	72832721	72832744	P49711	CTCF	540	1893
chr17	77247195	77247222	P49711	CTCF	528	1893
chr2	73212669	73212692	P49711	CTCF	537	1893
chr12	117837411	117837434	P49711	CTCF	538	1893
chr13	98445498	98445521	P49711	CTCF	532	1893
chr10	69392702	69392725	P49711	CTCF	537	1893
chr20	43187924	43187947	P49711	CTCF	534	1893
chr12	121443396	121443421	P49711	CTCF	530	1893
chr20	44080926	44080949	P49711	CTCF	539	1893
chr16	65836	65859	P49711	CTCF	533	1893
chr9	126398653	126398676	P49711	CTCF	533	1892
chr20	24994998	24995021	P49711	CTCF	535	1892
chr4	25988293	25988316	P49711	CTCF	531	1892
chr13	51286577	51286600	P49711	CTCF	535	1892
chr6	31546789	31546812	P49711	CTCF	537	1892
chr10	79374740	79374763	P49711	CTCF	539	1892
chr1	36088775	36088800	P49711	CTCF	530	1892
chr11	75140713	75140736	P49711	CTCF	538	1892
chr17	38584524	38584549	P49711	CTCF	532	1892
chr5	172713193	172713218	P49711	CTCF	533	1892
chr2	240851373	240851396	P49711	CTCF	536	1892
chr1	41417258	41417281	P49711	CTCF	533	1892
chr17	57858092	57858117	P49711	CTCF	539	1892
chr9	130236326	130236349	P49711	CTCF	536	1892
chr8	22909164	22909187	P49711	CTCF	532	1892
chr6	70884544	70884569	P49711	CTCF	536	1892
chr16	84511504	84511527	P49711	CTCF	536	1892
chr13	75219901	75219924	P49711	CTCF	531	1892
chr3	40580686	40580709	P49711	CTCF	537	1892
chr9	117644823	117644846	P49711	CTCF	536	1892
chr22	46122592	46122617	P49711	CTCF	533	1892
chr17	49998405	49998430	P49711	CTCF	534	1892
chr19	10416808	10416847	P49711	CTCF	538	3089
chr20	64285981	64286020	P49711	CTCF	528	3087
chr2	232606175	232606214	P49711	CTCF	535	3082
chr17	8383379	8383416	P49711	CTCF	544	2900
chr12	56224313	56224350	P49711	CTCF	539	2785
chr5	139765732	139765767	P49711	CTCF	539	2778
chr1	113072913	113072948	P49711	CTCF	539	2760
chr19	1672305	1672346	P49711	CTCF	528	2751
chr22	36066198	36066231	P49711	CTCF	539	2732
chr6	148686	148727	P49711	CTCF	505	2728
chr15	77910634	77910668	P49711	CTCF	534	2727
chr19	247210	247251	P49711	CTCF	513	2714
chr9	124853127	124853162	P49711	CTCF	538	2709
chr10	97407379	97407417	P49711	CTCF	539	2705
chr18	12271897	12271934	P49711	CTCF	527	2609
chr2	113604210	113604239	P49711	CTCF	545	2601
chr19	45439645	45439680	P49711	CTCF	534	2561
chr10	78029682	78029719	P49711	CTCF	535	2557
chr2	152025945	152025980	P49711	CTCF	539	2545
chr11	72434284	72434313	P49711	CTCF	538	2543
chr9	136791923	136791954	P49711	CTCF	539	2498
chr17	27654872	27654907	P49711	CTCF	537	2493
chr16	86563962	86563988	P49711	CTCF	543	2436
chr11	86608510	86608543	P49711	CTCF	536	2429
chr15	72670985	72671024	P49711	CTCF	534	2429
chr20	31613015	31613042	P49711	CTCF	545	2424
chr1	155250841	155250870	P49711	CTCF	542	2420
chr15	82530882	82530917	P49711	CTCF	535	2419
chr16	4402817	4402854	P49711	CTCF	535	2418
chr16	87777991	87778032	P49711	CTCF	533	2414
chr19	38930460	38930489	P49711	CTCF	541	2383
chr9	97923830	97923867	P49711	CTCF	532	2378
chr15	73636612	73636639	P49711	CTCF	540	2378
chr7	76314433	76314458	P49711	CTCF	542	2377
chr13	52450699	52450727	P49711	CTCF	533	2377
chr11	72793816	72793850	P49711	CTCF	538	2372
chr9	35826177	35826216	P49711	CTCF	531	2369
chr17	39548055	39548090	P49711	CTCF	537	2368
chr11	518813	518842	P49711	CTCF	523	2360
chr19	53793125	53793152	P49711	CTCF	538	2359
chr15	84570936	84570973	P49711	CTCF	526	2355
chr4	54971590	54971627	P49711	CTCF	512	2355
chr1	2140039	2140073	P49711	CTCF	524	2343
chr2	131492690	131492731	P49711	CTCF	532	2342
chr17	43483760	43483785	P49711	CTCF	541	2334
chr2	84925939	84925968	P49711	CTCF	543	2331
chr16	8567825	8567852	P49711	CTCF	541	2329
chr6	154675751	154675776	P49711	CTCF	539	2311
chr6	17584379	17584414	P49711	CTCF	521	2305
chr3	129245901	129245928	P49711	CTCF	538	2301
chr12	52981024	52981051	P49711	CTCF	541	2300
chr6	30453805	30453832	P49711	CTCF	535	2300
chr6	53172039	53172064	P49711	CTCF	543	2300
chr14	105045890	105045915	P49711	CTCF	541	2293
chr3	184289577	184289610	P49711	CTCF	524	2275
chr7	993291	993318	P49711	CTCF	539	2271
chr16	4254170	4254195	P49711	CTCF	544	2265
chr19	510787	510814	P49711	CTCF	538	2263
chr19	17496440	17496467	P49711	CTCF	534	2261
chr5	134039690	134039717	P49711	CTCF	540	2256
chr16	75464878	75464903	P49711	CTCF	544	2255
chr9	83921029	83921084	P49711	CTCF	504	2251
chr6	15691438	15691463	P49711	CTCF	541	2250
chr16	1929826	1929855	P49711	CTCF	526	2247
chr1	50873575	50873610	P49711	CTCF	515	2244
chr17	18625780	18625807	P49711	CTCF	538	2240
chr19	35693929	35693955	P49711	CTCF	540	2238
chrX	100768907	100768932	P49711	CTCF	543	2233
chr10	100433950	100433975	P49711	CTCF	539	2233
chr7	43839042	43839069	P49711	CTCF	540	2226
chr14	95561103	95561130	P49711	CTCF	541	2226
chr19	8580919	8580946	P49711	CTCF	540	2225
chr22	17171575	17171618	P49711	CTCF	530	2225
